volcanoName,eruptionCertainty,startDate,maxVEI,evidenceMethod,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Miyakejima,1,1450 BCE,2,Tephrochronology,34.094,139.526,775,Japan,Stratovolcano,1848,3189,3474,95663
Izu-Oshima,1,1450 BCE,1,Tephrochronology,34.724,139.394,746,Japan,Stratovolcano,2381,8037,8375,11837468
Fujisan,1,1450 BCE,2,Tephrochronology,35.361,138.728,3776,Japan,Stratovolcano,570,1759,906969,25022187
Colima,1,1450 BCE,2,Radiocarbon (uncorrected),19.514,-103.62,3850,Mexico,Stratovolcano,76,746,303490,1494790
Newberry,1,1450 BCE,1,Hydration Rind,43.722,-121.229,2434,United States,Shield,0,0,16437,180091
Taveuni,1,1450 BCE,2,Tephrochronology,-16.82,-179.97,1241,Fiji,Shield,692,3220,19186,146131
Unzendake,1,1450 BCE,1,Thermoluminescence,32.761,130.299,1483,Japan,Complex,6979,76424,444737,7313362
Kuchinoerabujima,1,1450 BCE,2,Radiocarbon (corrected),30.443,130.217,657,Japan,Stratovolcano,1544,1698,5348,149518
Ata,1,1450 BCE,3,Tephrochronology,31.22,130.57,924,Japan,Caldera,93134,93134,171590,1891380
Taupo,1,1460 BCE,6,Radiocarbon (corrected),-38.82,176.0,760,New Zealand,Caldera,21456,21456,26674,161966
Etna,3,1470 BCE,1,Radiocarbon (corrected),37.748,14.999,3320,Italy,Stratovolcano,78,3291,1016540,3052770
Ischia,1,1480 BCE,3,Magnetism,40.73,13.897,789,Italy,Complex,18669,20210,383661,5729354
Puyehue-Cordon Caulle,1,1490 BCE,2,Radiocarbon (corrected),-40.59,-72.117,2236,Chile,Stratovolcano,129,783,7163,515357
Etna,1,1500 BCE,5,Historical Observations,37.748,14.999,3320,Italy,Stratovolcano,78,3291,1016540,3052770
Ata,1,1500 BCE,4,Tephrochronology,31.22,130.57,924,Japan,Caldera,93134,93134,171590,1891380
